DIRECTORS,LABEL
斯科特·希克斯,
高志森,
莱克茜·亚历山大,
寺本幸代,
,
弗朗西斯·福特·科波拉,大师派
乔治·巴勒菲,
西恩·马提亚斯,
王颖,
弗兰克·马歇尔,
斯图尔特·拉菲尔,
麦克·巴克,
比尔·普莱姆顿,
李俊/杨光远,
黑泽清,文艺作者
米密·莱德,
比利·鲍伯·松顿,
,
佩德罗·阿莫多瓦,文艺作者
阿巴斯·基亚罗斯塔米,大师派
贾法·帕纳西,大师派
艾伦·科勒林,
比尔·帕克斯顿,
汤姆·麦卡锡,
川尻善昭/林太郎/大友克洋,
切瓦特·埃加福特,
欧文·赫利,
巴瑞·莱文森,
莱奥·卡拉克斯,文艺作者
谢晋,
张暖忻,
马丁·斯科塞斯,文艺作者
雅克-雷米·杰瑞德,
伍迪·艾伦,
朱利安·内尔,
侯孝贤/万仁/曾壮祥,
斯坦利·多南,
阿斯哈·法哈蒂,大师派
堤幸彦,
张华坤/陈以文,
斯图尔特·罗森博格,
亚历桑德罗·佐杜洛夫斯基,
八角哲夫,
亚伦·霍瓦斯/皮得·里达·米切尔,
张涛,
雷米·沙耶,
奈吉·柯尔,
泽井信一郎,
胡金铨,
周晓文,
莎米拉·玛克玛尔巴夫,
扬·斯维拉克,
让·维果,
卡罗尔·里德,
林赛·安德森,
尼古拉斯·加斯纳,
,
沟口健二,大师派
让-皮埃尔·梅尔维尔,大师派
佐藤东弥,
海涛,
雅克斯·波斯纳德,
赵焕章,
罗德里戈·加西亚,
林超贤,
大卫·弗兰科尔,
弗朗西斯·劳伦斯,
宁浩,
刘伟强,
八木龙一/山崎贵,
王晶,
J·J·艾布拉姆斯,
冯小刚,
深作欣二,
宫崎骏,动画导演
森田宏幸,
崔东勋,
娄烨,青年独立
亚利桑德罗·冈萨雷斯·伊纳里图,
新城毅彦,
福泽克雄,
拉斯·霍尔斯道姆,
史蒂夫·班德莱克,
皮埃尔·莫瑞尔,
顾长卫,
胡波,
奥利佛·斯通,
诺拉·艾芙隆,
马丁·斯科塞斯,文艺作者
徐克,
丹尼斯·维伦纽瓦,商业主流
吉尔·约格尔,
杜琪峰,
娄烨,青年独立
徐克,
温子仁,
杜琪峰,
彭浩翔,
许鞍华,
袁建滔,
大卫·马肯兹,
徐克,
德克斯特·弗莱彻,
梅尔·史密斯,
菲利普∙德∙肖伏隆,
马克·卡罗/让-皮埃尔·热内,
乔纳·马科维茨,
布莱特·拉特纳,
约翰·马登,
布兰达∙查普曼/西蒙·威尔斯,
岩井俊二,文艺作者
北野武,文艺作者
乔纳森·莫斯托,
唐英奇/徐达/吴健海,
棚田由纪,
詹姆斯·曼高德,
佐藤敬一/川村泰,
朗·霍华德,
安迪·戈达德,
贾森·雷特曼,
让·德拉努瓦,
王全安,
詹姆斯·卡梅隆,
游达志,
费尔南多·梅里尔斯,文艺作者
西恩·迈德斯,
施特凡·柏拉/马赛厄斯·马尔修,
陈可辛/李志毅,
克雷格·迈克科雷肯,
李焕庆,
何玉门,
安东尼·威勒,
亨利·亚历克斯·鲁宾,
阿尔弗雷德·希区柯克,
徐立功/尹祺,
玛嘉·莎塔琵/文森特·帕兰德,
管虎,
曹保平,
森淳一,
亚利桑德罗·冈萨雷斯·伊纳里图,
加里·弗莱德,
史蒂夫·麦奎因,文艺作者
贾法·帕纳西,大师派
迈克·李,文艺作者
谢米姆·萨尔弗,
胡进庆/周克勤/葛桂云,
本广克行,
刘蕙仪,
连奕琦,
侯孝贤,大师派
汤姆·麦卡锡,
赖舒·彼查,
杰伊·欧力瓦/伊桑·斯波尔丁,
兰道尔·华莱士,
,
埃米尔·库斯图里卡,
西德尼·波拉克,
特瑞·琼斯,
,
热拉尔·科尔比奥,
西尔维斯特·史泰龙,
関和亮,
汤姆·提克威,
雷吉斯·瓦格涅,
王家乙,
王好为,
李志毅,
是枝裕和,文艺作者
斯科特·希克斯,
蒂姆·罗宾斯,
斯特凡·奥比尔/文森特·帕塔尔,
妮琪·卡罗,
西浦正记,
吉田康弘,
英格玛·伯格曼,
森本晃司/森田修平/大友克洋/安藤裕章/角木肇,
堤幸彦,
查尔斯·劳顿,
乔·舒马赫,
杰里米·洛夫林,
理查德·隆克瑞恩,
史蒂夫·伦特,
,
罗伯特·雷德福,
富野由悠季,
中村义洋,
谢飞,
马尼·沙恩卡尔,
堤幸彦,
潘礼平/邹江/尹俊欢,
奥逊·威尔斯,
安纳托尔·李维克,
扎布·布雷特曼,
雅克·塔蒂,文艺作者
艾伦·帕克,
西川美和,文艺作者
埃里克斯·肯德里克,
布拉德利·雷蒙德,
马克·罗特蒙德,
押井守,
克洛德·夏布洛尔,
弗朗索瓦·特吕弗,大师派
特拉维斯·费恩,
米拉·奈尔,
克洛德·贝里,
瞿友宁,
萨拉·波莉,
胡雄华,
王家卫,大师派
阿方索·卡隆,文艺作者
张艺谋,商业主流
曹保平,
弗兰克·德拉邦特,
李宰汉,
刘伟强/麦兆辉,
布拉德·伯德,
迈克尔·贝,
李沧东,
贾樟柯,文艺作者
昆汀·塔伦蒂诺,商业主流
文森佐·纳塔利,
