DIRECTOR,相近导演,主要电影豆瓣ID,LABEL
让-皮埃尔·热内,米歇尔·冈德里、韦斯·安德森、莱奥·卡拉克斯,1292215 6985803 1299153 1292234 1306666 2355582 1306450 34891825 6971294 3989609 1451789,美国独立导演
诺亚·鲍姆巴赫,,,欧洲作者导演
谢尔盖·帕拉杰诺夫,安德烈·塔可夫斯基、埃莱姆·克里莫夫、阿列克谢·格尔曼,1440106 1303542 1303337 1417918 1475269 1449779 1450058 2004416,欧洲作者导演
贝托鲁奇,,,欧洲作者导演
贝拉·塔尔,米克洛什·杨楚、卡洛斯·雷加达斯、迈克尔·哈内克,1422088 3285632 1416898 1422055 1917205 10727678 1422101,欧洲作者导演
贝纳尔多·贝托鲁奇,安东尼奥尼、费里尼、保罗·索伦蒂诺,1293172 1291856 1293394 1292277 1300353 1300956 6793337 1300955 1291564 1293034 25735492 1296356,意大利现代主义
费尔南多·梅里尔斯,克莱伯·门东萨·菲略、史蒂文·索德伯格、丹尼·博伊尔,1292208 27132510 1419856 2028634 4918498,欧洲作者导演
费德里科·费里尼,米开朗基罗·安东尼奥尼、卢奇诺·维斯康蒂、贝纳尔多·贝托鲁奇,1361276 1294781 1292719 1293271 1298672 1302815 1293358 1300779 1303571 1296183 1299485 1301917 1303533,意大利现代主义
贾樟柯,娄烨、刁亦男、王兵、毕赣,1291848 33440244 1309087 3053521 2138300 3768185 1870250 3212098 25890005 21941283 1872133 1291851 1291850 26972258 36289263,中国大陆·第六代
贾法·帕纳西,阿巴斯·基亚罗斯塔米、阿斯哈·法哈蒂、穆森·马赫马巴夫,26304167 35900179 1825608 1306587,伊朗新电影
赖纳·维尔纳·法斯宾德,维姆·文德斯、赫尔佐格、施隆多夫,1294092 3228134 1307684 1298655 1293808 1298609 1295221 1300660 1300323 1293230 1300050 1294129 1302108 4266816 1298863,好莱坞商业导演
赫尔佐格,,,中国作者导演
路易斯·布努埃尔,,,好莱坞商业导演
路易斯·布努埃尔（5000人以下多）,卡洛斯·绍拉、阿莫多瓦、费德里科·费里尼,1303364 1298962 1301649 1297188 1303071 1303557 1303556 1293667 1303579 1301655,意大利现代主义
达伦·阿罗诺夫斯基,,,好莱坞商业导演
达内兄弟,,,欧洲作者导演
达米恩·查泽雷,达伦·阿罗诺夫斯基、克里斯托弗·诺兰、朱浩伟,25934014 25773932 34467461 3026559,好莱坞商业导演
迈克·李,肯·洛奇、斯蒂芬·弗雷尔斯、林恩·拉姆塞,3718782 1294477 1299077 21319853 2382939 1309001,欧洲作者导演
迈克尔·哈内克,布鲁诺·杜蒙、克里斯蒂安·佩措尔德、阿基·考里斯马基,4798707 1306730 2464346 1438066 1306548 24875641 26698601,好莱坞商业导演
迈克尔·曼,,,好莱坞商业导演
迈克尔·西米诺,,,好莱坞商业导演
里特维克·加塔克,,,好莱坞商业导演
金基德,,,日本剑戟片
阿伦·雷乃,让-吕克·戈达尔、弗朗索瓦·特吕弗、路易斯·布努埃尔,2568211 1302050 1400240 1298270 1295740 1293103 1421863,欧洲作者导演
阿列克谢·格尔曼,亚历山大·索科洛夫、安德烈·兹维亚金采夫、埃莱姆·克里莫夫,35172008 2368633,好莱坞商业导演
阿基·考里斯马基,,,欧洲作者导演
阿巴斯·基亚罗斯塔米,贾法·帕纳西、阿斯哈·法哈蒂、马吉德·马吉迪、拉素罗夫,,伊朗新电影
阿彼察邦,,,好莱坞商业导演
阿斯哈·法哈蒂,阿巴斯·基亚罗斯塔米、贾法·帕纳西、穆森·马赫马巴夫,3445575 34966906 10765742,伊朗新电影
阿方索·卡隆,冈萨雷斯·伊纳里图、吉尔莫·德尔·托罗、泰伦斯·马力克,35580293 36660929 37038596 35683847 35271914,中国作者导演
阿涅斯·瓦尔达,雅克·德米、弗朗索瓦·特吕弗、克洛德·夏布罗尔,26764928 30423539 3162138 1301279 1294565 1763691 1307939 1292445 1394410 1483516 1297403 1475183 1300420 1297682 2345106 1300353,欧洲作者导演
阿莫多瓦,,,欧洲作者导演
雅克·塔蒂,让-皮埃尔·梅尔维尔、雅克·德米、让-皮埃尔·热内,1303543 2007345 1305790 1400829 1424620 1921583,好莱坞商业导演
雅克·德米,阿涅斯·瓦尔达、弗朗索瓦·特吕弗、让-皮埃尔·热内,1394410 1301646 1301648 1471815 1301656 1401908 2032829 3162138 1300056,欧洲作者导演
雷德利·斯科特,托尼·斯科特、詹姆斯·卡梅隆、丹尼斯·维伦纽瓦,23055586 5028366 26798481 10549253 25846032 26387804 6126439 3754368 1291992 2133370 5387041 26312003 1291824 10758815 1291839 34961518 1293530 1309071 24875641 25864085 1766042 1300868 3824837 1301746 10512661,好莱坞商业导演
韦斯·安德森,米歇尔·冈德里、让-皮埃尔·热内、索菲亚·科波拉,11525673 3098288 1759386 24875641 5360889 26640371 26354572 1306031 1296835 25893369 2444800 1308976 1968438 1437377 30300279 35724543 30228880 26302741 24153248 10833922 36877400 2264404 26962981 1294548 25769376,美国独立导演
韩在林,,,好莱坞商业导演
马丁·斯科塞斯,科波拉、德·帕尔马、迈克尔·西米诺、奥利弗·斯通,1292268 26745332 1884684 1293511 1301465 1299799 2334904 2997076 1293155 6981153 1292222 1292772 1303531 1309070 1315316 1301061 1299107 1292889 1297692 1292878 1419445 1296372,好莱坞商业导演
马力克,,,好莱坞商业导演
马吉德·马吉迪,阿巴斯·基亚罗斯塔米、阿斯哈·法哈蒂、贾法·帕纳西,1303021 25805039 1304406 2138467 35159294 1305620 4885915,伊朗新电影
高畑勋,宫崎骏、细田守、米林宏昌、新海诚,1293318 1291588 4099231 1303907 2309883 1417728 1439205 2149802 1302145,日本动画导演
鲁本·奥斯特伦德,罗伊·安德森、迈克尔·哈内克、布鲁诺·杜蒙,27066152 26610229 7155005 3556728 4303769 3073479 27148398 6114938,中国作者导演
黑泽明,小津安二郎、沟口健二、市川崑、小林正树,1291879 1295399 1296196 1299112 1303067 1293847 1292515 10774184 1294827 1293310 1293663 1296679 1293107 1303110 1300034 1294859 1298754 1300208 1297589 1303077 1302619 1293162 1293017,日本剑戟片
黑泽清,是枝裕和、三池崇史、北野武、塚本晋也,2032143 1304665 34852385 1308561 36473201 1305444,日本新浪潮
